Attrition;JobRole;OverTime;YearsInCurrentRole;YearsWithCurrManager;Age;YearsAtCompany;StockOptionLevel;JobInvolvement;BusinessTravel;JobSatisfaction;EnvironmentSatisfaction;DistanceFromHome;WorkLifeBalance;TrainingTimesLastYear;DailyRate;MonthlyIncome;AgeGroup;IncomeGroup;CurrentRoleYearsGroup;Attrition_bin;Attrition_Prob_ML;PC1;PC2;Cluster_K3;RiskTier;Attrition_Prob_Tree;Tree_Segment
No;Research Scientist;No;2;2;33;3;0;3;Travel_Rarely;4;Moderately satisfied;13;3;4;461;3452;26-35;2001-4000;0-4;0;0.052206286560214275;-3051.1633848273245;-339.45443220967604;0;Low;0.06491499227202473;24
No;Laboratory Technician;No;3;2;45;5;2;3;Travel_Rarely;4;Satisfied;1;3;2;974;2270;36-45;2001-4000;0-4;0;0.022394489182213317;-4232.807218295176;174.33365169526348;0;Low;0.06491499227202473;24
No;Research Director;No;4;3;50;5;1;3;Travel_Rarely;4;Satisfied;1;2;1;1126;17399;46-55;10000+;0-4;0;0.008729705441392552;10896.284469959182;316.27098877919786;1;Low;0.06491499227202473;24
No;Healthcare Representative;Yes;5;2;33;6;1;4;Travel_Frequently;2;Moderately satisfied;1;3;2;827;5488;26-35;4001-6000;5-8;0;0.09915439564337838;-1014.9185276341777;25.19081370434685;0;Low;0.1111111111111111;17
No;Research Director;No;16;11;41;18;1;3;Travel_Frequently;3;Dissatisfied;9;4;2;840;19419;36-45;10000+;13-16;0;0.042056228133863616;12916.097380620255;28.91628448398194;1;Low;0.06491499227202473;24
No;Laboratory Technician;No;2;2;27;2;1;3;Travel_Rarely;2;Moderately satisfied;16;3;2;1134;2811;26-35;2001-4000;0-4;0;0.10430093961149578;-3691.7214400194757;333.9708895808259;0;Low;0.06491499227202473;24
No;Laboratory Technician;Yes;8;8;45;9;1;3;Non-Travel;1;Satisfied;23;3;2;248;3633;36-45;2001-4000;5-8;0;0.07743030341596675;-2870.2866383567357;-552.5786009382643;0;Low;0.1111111111111111;17
No;Sales Executive;Yes;0;7;47;9;0;3;Travel_Rarely;4;Satisfied;4;3;0;955;4163;46-55;4001-6000;0-4;0;0.13628020879156505;-2339.81665376413;154.07060324138195;0;Low;0.28865979381443296;16
Yes;Research Scientist;Yes;2;1;30;5;0;3;Travel_Rarely;3;Dissatisfied;22;3;2;138;2132;26-35;2001-4000;0-4;1;0.8042222227951232;-4371.379076042746;-661.5785967606313;0;High;0.5833333333333334;14
No;Manufacturing Director;Yes;11;5;50;12;1;3;Travel_Rarely;3;Satisfied;24;3;2;939;13973;46-55;10000+;9-12;0;0.019474667334461286;7470.169954258341;131.5434178612387;1;Low;0.1111111111111111;17
No;Research Scientist;No;1;2;38;2;1;3;Travel_Frequently;3;Moderately satisfied;10;2;0;1391;2684;36-45;2001-4000;0-4;0;0.0755263058644733;-3818.5397386565814;591.0575778105975;0;Low;0.06491499227202473;24
No;Manufacturing Director;No;7;7;46;8;1;3;Travel_Rarely;3;Satisfied;7;3;3;566;10845;46-55;10000+;5-8;0;0.03960013809261648;4341.918207182767;-239.37320705691604;2;Low;0.06491499227202473;24
No;Manufacturing Director;No;2;2;24;4;2;2;Travel_Rarely;3;Satisfied;17;3;6;1206;4377;19-25;4001-6000;0-4;0;0.05992478101430215;-2125.6766051837058;404.92764791601405;0;Low;0.06491499227202473;24
Yes;Laboratory Technician;Yes;2;2;35;4;1;2;Travel_Rarely;2;Moderately satisfied;14;1;2;622;3743;26-35;2001-4000;0-4;1;0.5764348924831895;-2760.0539521284477;-178.6484608567331;0;High;0.1111111111111111;17
No;Manufacturing Director;No;3;3;31;4;1;3;Travel_Frequently;1;Moderately satisfied;1;3;1;853;4148;26-35;4001-6000;0-4;0;0.07056201659041868;-2354.903503403105;52.08233127500921;0;Low;0.06491499227202473;24
No;Research Scientist;No;0;0;18;0;0;3;Non-Travel;4;Moderately satisfied;5;3;2;287;1051;0-18;0-2000;0-4;0;0.18968275705775708;-5452.294042604528;-511.8567295264852;0;Low;0.6285714285714286;5
No;Manufacturing Director;No;7;8;54;10;1;3;Travel_Rarely;3;Moderately satisfied;17;3;2;1441;10739;46-55;10000+;5-8;0;0.03994711361525547;4236.5096114314365;635.695708329322;2;Low;0.06491499227202473;24
No;Healthcare Representative;Yes;10;1;35;16;1;3;Travel_Rarely;3;Moderately satisfied;25;2;3;583;10388;26-35;10000+;9-12;0;0.10449341183531063;3884.9233799647827;-222.07552272354997;2;Low;0.1111111111111111;17
No;Research Director;Yes;7;7;30;8;3;4;Travel_Rarely;1;Moderately satisfied;8;2;4;153;11416;26-35;10000+;5-8;0;0.08687625853374173;4912.627276982903;-652.7552373044848;2;Low;0.1111111111111111;17
Yes;Research Scientist;Yes;0;0;20;1;0;2;Travel_Rarely;1;Satisfied;11;3;2;1097;2600;19-25;2001-4000;0-4;1;0.8487104281269369;-3902.7541970265056;297.1114124613372;0;High;0.875;3
Yes;Laboratory Technician;No;2;2;30;3;0;3;Travel_Frequently;2;Moderately satisfied;5;3;3;109;2422;26-35;2001-4000;0-4;1;0.2488242205611995;-4081.3992542215083;-690.76903493225;0;Medium;0.06491499227202473;24
No;Manufacturing Director;No;7;3;26;8;0;4;Travel_Rarely;4;Satisfied;2;3;2;1066;5472;26-35;4001-6000;5-8;0;0.04954424496893309;-1030.7641008675218;264.1989549440499;0;Low;0.06491499227202473;24
No;Laboratory Technician;No;3;1;22;4;1;1;Travel_Rarely;1;Moderately satisfied;8;2;3;217;2451;19-25;2001-4000;0-4;0;0.16004195094308865;-4052.334516364671;-582.7902474901764;0;Low;0.21212121212121213;23
No;Healthcare Representative;No;2;2;48;2;0;2;Travel_Rarely;3;Dissatisfied;6;3;0;277;4240;46-55;4001-6000;0-4;0;0.0664594588069093;-2263.272416203069;-523.9750747238791;0;Low;0.06491499227202473;24
No;Healthcare Representative;No;11;8;48;15;0;2;Travel_Rarely;3;Moderately satisfied;4;3;3;1355;10999;46-55;10000+;9-12;0;0.021293637611811828;4496.451168791527;549.5203659780567;2;Low;0.06491499227202473;24
No;Manufacturing Director;No;2;1;41;2;0;3;Travel_Rarely;3;Satisfied;7;3;6;549;5003;36-45;4001-6000;0-4;0;0.041850492705747366;-1500.0992889362933;-252.48352740029702;0;Low;0.06491499227202473;24
No;Manufacturing Director;No;6;8;39;21;1;2;Travel_Rarely;4;Satisfied;1;3;3;466;12742;36-45;10000+;5-8;0;0.020196702634193084;6238.851851257632;-340.6433099141136;1;Low;0.06491499227202473;24
No;Manufacturing Director;No;2;2;27;3;1;3;Travel_Rarely;4;Dissatisfied;2;3;2;1055;4227;26-35;4001-6000;0-4;0;0.033544965569057436;-2275.7742668139463;254.03002267663135;0;Low;0.06491499227202473;24
No;Laboratory Technician;No;2;2;35;3;1;3;Travel_Rarely;4;Moderately satisfied;10;2;4;802;3917;26-35;2001-4000;0-4;0;0.06297819987018549;-2585.934911799568;1.236866794483035;0;Low;0.06491499227202473;24
No;Manager;No;0;0;42;1;0;3;Travel_Rarely;3;Satisfied;5;4;3;265;18303;36-45;10000+;0-4;0;0.022125544898380325;11799.698188203596;-545.3290382573139;1;Low;0.13793103448275862;9
No;Laboratory Technician;No;0;0;50;1;0;3;Travel_Rarely;4;Dissatisfied;9;3;5;804;2380;46-55;2001-4000;0-4;0;0.2569261936981447;-4122.919891437568;4.2630276816553305;0;Medium;0.13793103448275862;9
No;Manufacturing Director;Yes;3;3;59;5;0;2;Travel_Rarely;4;Moderately satisfied;2;3;4;715;13726;56-65;10000+;0-4;0;0.08881313189254528;7223.022948171725;-92.28471809439975;1;Low;0.28865979381443296;16
Yes;Healthcare Representative;No;0;0;37;1;0;1;Travel_Rarely;2;Dissatisfied;11;1;2;1141;4777;36-45;4001-6000;0-4;1;0.3986192012718362;-1725.710571651748;339.6660874425669;0;Medium;0.13793103448275862;9
No;Healthcare Representative;Yes;7;7;55;8;2;3;Travel_Frequently;2;Moderately satisfied;18;3;3;135;6385;46-55;6001-8000;5-8;0;0.10803033791242274;-118.35586910212987;-667.4060823485163;2;Low;0.1111111111111111;17
No;Research Director;No;16;10;41;21;2;1;Non-Travel;3;Moderately satisfied;7;3;3;247;19973;36-45;10000+;13-16;0;0.06125641240369444;13469.70402167065;-564.4532032960047;1;Low;0.21212121212121213;23
No;Sales Executive;Yes;0;0;38;1;0;3;Travel_Rarely;4;Moderately satisfied;3;3;1;1035;6861;36-45;6001-8000;0-4;0;0.25889571626891283;358.21804553159836;232.28105217227142;2;Medium;0.3333333333333333;11
Yes;Sales Executive;No;2;2;26;2;0;1;Non-Travel;1;Moderately satisfied;29;3;6;265;4969;26-35;4001-6000;0-4;1;0.6554706038668558;-1534.3031522033862;-536.4658338278764;0;High;0.21212121212121213;23
Yes;Manager;No;14;9;52;32;1;1;Travel_Rarely;4;Dissatisfied;2;3;3;266;19845;46-55;10000+;13-16;1;0.6380573605352324;13341.734144534248;-545.3721155925552;1;High;0.21212121212121213;23
No;Sales Executive;Yes;11;11;44;12;1;4;Travel_Rarely;4;Satisfied;28;3;2;1448;13320;36-45;10000+;9-12;0;0.07094621679029699;6817.504938370146;640.9748240752291;1;Low;0.1111111111111111;17
No;Sales Executive;No;7;13;50;18;1;3;Non-Travel;3;Satisfied;1;3;3;145;6347;46-55;6001-8000;5-8;0;0.051571288321741814;-156.34525164757088;-657.3872471841898;2;Low;0.06491499227202473;24
Yes;Laboratory Technician;No;13;14;36;17;0;4;Travel_Rarely;1;Moderately satisfied;16;3;1;885;2743;36-45;2001-4000;13-16;1;0.5267916455531065;-3759.8620437618215;85.00648500683735;0;High;0.06491499227202473;24
No;Manufacturing Director;Yes;6;8;39;21;0;3;Travel_Frequently;1;Satisfied;22;3;2;945;10880;36-45;10000+;5-8;0;0.06938566810276209;4377.17183476804;139.59268578977105;2;Low;0.28865979381443296;16
No;Sales Representative;No;2;2;33;2;0;2;Non-Travel;4;Moderately satisfied;8;2;2;1038;2342;26-35;2001-4000;0-4;0;0.09462291642225983;-4160.778821096404;238.28467443942475;0;Low;0.06491499227202473;24
No;Manager;No;3;1;45;9;1;3;Travel_Rarely;4;Satisfied;11;4;4;1234;17650;36-45;10000+;0-4;0;0.04078499676047673;11147.352819747966;424.1002376357211;1;Low;0.06491499227202473;24
No;Laboratory Technician;No;7;7;32;8;0;3;Non-Travel;3;Satisfied;29;3;2;1109;4025;26-35;4001-6000;5-8;0;0.08723070552009851;-2477.728031262182;308.15852158833957;0;Low;0.06491499227202473;24
No;Sales Executive;No;1;9;34;15;1;4;Travel_Rarely;4;Moderately satisfied;1;2;2;216;9725;26-35;8001-10000;0-4;0;0.06851375268130777;3221.6783492263494;-588.6340693015461;2;Low;0.06491499227202473;24
No;Manager;Yes;4;4;59;6;1;3;Travel_Rarely;4;Moderately satisfied;1;1;1;1089;11904;56-65;10000+;0-4;0;0.10195793328199786;5401.274909959127;282.9266257422645;2;Low;0.1111111111111111;17
No;Human Resources;No;3;4;45;6;0;3;Travel_Rarely;2;Moderately satisfied;24;3;3;788;2177;36-45;2001-4000;0-4;0;0.08453039206498399;-4325.930365768636;-11.60810966622455;0;Low;0.06491499227202473;24
No;Sales Executive;No;7;12;53;15;1;2;Travel_Frequently;2;Moderately satisfied;2;3;2;124;7525;46-55;6001-8000;5-8;0;0.11078697601136732;1021.6402098409471;-679.1686599795635;2;Low;0.06491499227202473;24
Yes;Laboratory Technician;No;0;0;36;1;1;3;Travel_Rarely;3;Dissatisfied;15;2;3;660;4834;36-45;4001-6000;0-4;1;0.48343775035629627;-1669.031825428876;-141.3719063677595;0;Medium;0.13793103448275862;9
Yes;Research Scientist;Yes;2;2;26;3;1;3;Travel_Frequently;1;Dissatisfied;2;3;2;342;2042;26-35;2001-4000;0-4;1;0.5671267888598271;-4461.247594613364;-457.5166828445306;0;High;0.5833333333333334;14
No;Sales Representative;Yes;1;0;34;1;1;3;Travel_Rarely;3;Moderately satisfied;10;3;2;1333;2220;26-35;2001-4000;0-4;0;0.23047061753043815;-4282.58294713766;533.3667090886014;0;Medium;0.3333333333333333;11
No;Sales Representative;No;0;0;28;1;0;3;Travel_Rarely;2;Satisfied;10;3;5;1144;1052;26-35;0-2000;0-4;0;0.6738873268125246;-5450.713593821289;345.1425756818247;0;High;0.6285714285714286;5
No;Research Scientist;No;2;2;38;2;1;3;Travel_Frequently;3;Moderately satisfied;3;3;2;1186;2821;36-45;2001-4000;0-4;0;0.028281373182543926;-3681.6758124135176;385.96724128665926;0;Low;0.06491499227202473;24
No;Research Director;Yes;1;7;50;8;1;3;Travel_Rarely;3;Moderately satisfied;2;2;2;1464;19237;46-55;10000+;0-4;0;0.08604858991222288;12734.50973873255;653.0451440875432;1;Low;0.1111111111111111;17
No;Healthcare Representative;No;3;1;37;4;0;3;Travel_Rarely;2;Satisfied;3;2;3;124;4107;36-45;4001-6000;0-4;0;0.08135706181855902;-2396.38332412032;-676.8886808362885;0;Low;0.06491499227202473;24
No;Sales Executive;No;7;5;40;7;1;3;Travel_Rarely;1;Moderately satisfied;26;2;3;300;8396;36-45;8001-10000;5-8;0;0.057326623234520625;1892.7360003803406;-503.7459121901515;2;Low;0.06491499227202473;24
No;Research Scientist;No;3;3;26;5;2;2;Travel_Frequently;3;Dissatisfied;1;3;5;921;2007;26-35;2001-4000;0-4;0;0.07668796610717697;-4495.860380020167;121.50526272405693;0;Low;0.06491499227202473;24
No;Research Director;No;2;2;46;2;2;3;Travel_Rarely;4;Satisfied;1;3;0;430;19627;46-55;10000+;0-4;0;0.03837449933408857;13123.81242819226;-381.20940299246047;1;Low;0.06491499227202473;24
No;Sales Executive;No;4;0;54;9;1;2;Travel_Rarely;3;Moderately satisfied;2;3;4;1082;10686;46-55;10000+;0-4;0;0.11734350850785118;4183.267558908925;276.73494983485864;2;Low;0.06491499227202473;24
No;Research Scientist;No;4;3;56;5;1;3;Travel_Frequently;3;Dissatisfied;9;3;4;1240;2942;56-65;2001-4000;0-4;0;0.12773095216398136;-3560.6199698908886;439.8870790907955;0;Low;0.06491499227202473;24
No;Manufacturing Director;No;8;8;36;14;0;2;Travel_Rarely;4;Satisfied;12;2;2;796;8858;36-45;8001-10000;5-8;0;0.038781387112155424;2355.067897245339;-8.057344533285232;2;Low;0.06491499227202473;24
No;Manager;No;7;2;55;9;0;2;Non-Travel;1;Moderately satisfied;2;4;3;444;16756;46-55;10000+;5-8;0;0.03773528067374694;10252.839388423074;-365.30274678292784;1;Low;0.06491499227202473;24
No;Sales Executive;No;0;0;43;1;1;2;Travel_Rarely;4;Moderately satisfied;25;3;5;415;10798;36-45;10000+;0-4;0;0.0490551956869779;4294.805794503662;-390.3387451071175;2;Low;0.0;10
Yes;Sales Representative;Yes;2;2;20;2;0;3;Travel_Frequently;4;Satisfied;9;3;3;769;2323;19-25;2001-4000;0-4;1;0.7336186421692495;-4179.9703773837755;-30.704626922063653;0;High;0.5833333333333334;14
Yes;Laboratory Technician;No;0;0;21;1;0;2;Travel_Rarely;1;Moderately satisfied;10;2;6;1334;1416;19-25;0-2000;0-4;1;0.8387275962914064;-5086.59429143498;534.8991538903421;0;High;0.6285714285714286;5
No;Research Scientist;Yes;13;7;46;16;3;2;Travel_Rarely;1;Satisfied;8;3;2;1003;4615;46-55;4001-6000;13-16;0;0.03558698723133442;-1887.7779171093825;201.76614478312717;0;Low;0.1111111111111111;17
Yes;Research Scientist;Yes;0;7;51;10;3;3;Travel_Rarely;3;Dissatisfied;4;4;2;1323;2461;46-55;2001-4000;0-4;1;0.19688568690255417;-4041.565621912601;523.2026729471037;0;Low;0.5833333333333334;14
Yes;Healthcare Representative;No;7;9;28;10;0;2;Non-Travel;1;Moderately satisfied;24;2;2;1366;8722;26-35;8001-10000;5-8;1;0.06947761976958026;2219.436517279828;562.0322153429541;2;Low;0.06491499227202473;24
No;Laboratory Technician;No;3;3;26;5;2;2;Travel_Rarely;1;Dissatisfied;1;3;2;192;3955;26-35;2001-4000;0-4;0;0.09713734606153376;-2548.3473911515703;-608.7903145500596;0;Low;0.06491499227202473;24
No;Manufacturing Director;No;2;2;30;6;1;3;Travel_Rarely;1;Moderately satisfied;20;2;1;1176;9957;26-35;8001-10000;0-4;0;0.06984397785862809;3454.3049652304235;371.21542607044387;2;Low;0.06491499227202473;24
No;Research Scientist;No;6;8;41;10;0;4;Travel_Rarely;3;Moderately satisfied;7;3;3;509;3376;36-45;2001-4000;5-8;0;0.02940323851980148;-3127.1160037932727;-291.40741754528165;0;Low;0.06491499227202473;24
No;Healthcare Representative;No;9;9;38;19;1;2;Travel_Rarely;3;Moderately satisfied;17;2;4;330;8823;36-45;8001-10000;9-12;0;0.015843964478464426;2319.7634947267998;-474.0371096901803;2;Low;0.06491499227202473;24
No;Healthcare Representative;No;10;1;40;11;1;3;Travel_Rarely;4;Dissatisfied;20;3;6;1492;10322;36-45;10000+;9-12;0;0.06963770439248503;3819.529988496768;686.9721238994738;2;Low;0.06491499227202473;24
No;Laboratory Technician;No;2;2;27;3;3;1;Non-Travel;3;Dissatisfied;8;3;4;1277;4621;26-35;4001-6000;0-4;0;0.1316293996205345;-1881.6271441740473;475.76721973078827;0;Low;0.21212121212121213;23
No;Manufacturing Director;No;2;2;55;3;1;3;Travel_Frequently;2;Satisfied;2;3;4;1091;10976;46-55;10000+;0-4;0;0.02908156222310178;4473.270166779057;285.5450394172386;2;Low;0.06491499227202473;24
No;Research Scientist;No;7;7;28;8;0;3;Travel_Rarely;3;Moderately satisfied;10;4;4;857;3660;26-35;2001-4000;5-8;0;0.05401894276142515;-2842.898715848898;56.40257139517905;0;Low;0.06491499227202473;24
Yes;Human Resources;No;6;6;44;20;1;2;Travel_Rarely;1;Moderately satisfied;1;3;1;1376;10482;36-45;10000+;5-8;1;0.045933379890490705;3979.4632947265254;570.8610904147498;2;Low;0.06491499227202473;24
No;Healthcare Representative;No;2;2;33;3;1;2;Travel_Rarely;4;Satisfied;5;3;2;654;7119;26-35;6001-8000;0-4;0;0.02757795862582736;615.9617474260976;-148.89283013385534;2;Low;0.06491499227202473;24
Yes;Sales Executive;Yes;7;7;35;8;0;3;Travel_Rarely;1;Satisfied;4;3;2;1204;9582;26-35;8001-10000;5-8;1;0.4801317632828891;3079.333360582741;399.46497913428254;2;Medium;0.28865979381443296;16
Yes;Research Scientist;No;7;8;33;13;0;2;Travel_Frequently;3;Dissatisfied;29;3;4;827;4508;26-35;4001-6000;5-8;1;0.5073314695767968;-1994.911605378693;25.834278125706646;0;High;0.06491499227202473;24
No;Laboratory Technician;No;2;2;28;4;1;3;Travel_Rarely;3;Dissatisfied;15;2;5;895;2207;26-35;2001-4000;0-4;0;0.10918605636352446;-4295.877566529341;95.37202459937703;0;Low;0.06491499227202473;24
No;Healthcare Representative;No;2;4;34;6;0;3;Travel_Frequently;4;Dissatisfied;3;2;1;618;7756;26-35;6001-8000;0-4;0;0.08803387099353402;1252.9407057718408;-185.31840677940534;2;Low;0.06491499227202473;24
No;Sales Executive;Yes;0;0;37;1;3;2;Travel_Rarely;4;Satisfied;10;3;5;309;6694;36-45;6001-8000;0-4;0;0.16894173751702005;190.73391413567242;-493.60812644991336;2;Low;0.3333333333333333;11
Yes;Laboratory Technician;Yes;7;6;25;7;1;3;Travel_Rarely;4;Satisfied;4;4;3;1219;3691;19-25;2001-4000;5-8;1;0.6756752731094382;-2811.661479279117;418.3829390693894;0;High;0.1111111111111111;17
Yes;Laboratory Technician;No;1;0;26;1;1;3;Travel_Rarely;3;Dissatisfied;21;2;0;1330;2377;26-35;2001-4000;0-4;1;0.7182829611035212;-4125.593155971663;530.259998426288;0;High;0.30434782608695654;6
Yes;Research Scientist;Yes;2;2;33;2;0;2;Travel_Rarely;2;Dissatisfied;25;3;0;1017;2313;26-35;2001-4000;0-4;1;0.8085773115868359;-4189.793254034581;217.3020737352573;0;High;0.5833333333333334;14
No;Manager;No;6;7;42;22;1;3;Travel_Rarely;1;Satisfied;2;3;3;469;17665;36-45;10000+;5-8;0;0.013904237889710567;11161.852266169464;-340.9180116904222;1;Low;0.06491499227202473;24
Yes;Laboratory Technician;No;0;0;28;1;2;2;Travel_Frequently;2;Dissatisfied;1;3;2;1009;2596;26-35;2001-4000;0-4;1;0.671266506844731;-3906.804750772155;209.11653073408434;0;High;0.30434782608695654;6
Yes;Sales Executive;Yes;0;0;50;0;0;3;Travel_Frequently;3;Satisfied;1;3;4;959;4728;46-55;4001-6000;0-4;1;0.36204969282128263;-1774.8194444553683;157.70247702925087;0;Medium;0.3333333333333333;11
No;Sales Executive;No;2;2;33;3;1;3;Travel_Frequently;2;Satisfied;7;3;3;970;4302;26-35;4001-6000;0-4;0;0.045691759535290914;-2200.8252638383583;168.98046917628278;0;Low;0.06491499227202473;24
No;Research Scientist;No;0;0;34;0;3;2;Non-Travel;4;Moderately satisfied;3;3;2;697;2979;26-35;2001-4000;0-4;0;0.06356535754118965;-3524.007688705521;-103.13649577354477;0;Low;0.0;10
No;Manager;No;4;1;48;5;0;4;Non-Travel;4;Dissatisfied;1;2;3;1262;16885;46-55;10000+;0-4;0;0.03519926626868328;10382.37301850767;452.61300287535175;1;Low;0.06491499227202473;24
No;Sales Executive;No;10;12;45;15;1;2;Non-Travel;3;Moderately satisfied;9;3;2;1050;5593;36-45;4001-6000;9-12;0;0.01692160058752678;-909.7488107639383;248.11434881726325;0;Low;0.06491499227202473;24
No;Healthcare Representative;No;6;0;52;8;0;3;Travel_Rarely;2;Moderately satisfied;7;3;4;994;10445;46-55;10000+;5-8;0;0.020702284956215;3942.2070970133173;188.89515827901505;2;Low;0.06491499227202473;24
No;Sales Executive;Yes;7;7;38;8;2;2;Travel_Rarely;3;Moderately satisfied;10;3;2;770;8740;36-45;8001-10000;5-8;0;0.05086936596832386;2237.048155012719;-33.974658323381504;2;Low;0.1111111111111111;17
No;Research Scientist;No;5;7;29;7;1;3;Travel_Rarely;4;Moderately satisfied;28;3;1;1107;2514;26-35;2001-4000;5-8;0;0.03341131539217227;-3988.7319949418543;307.16378976808176;0;Low;0.06491499227202473;24
No;Manufacturing Director;No;7;7;28;9;3;3;Travel_Rarely;2;Satisfied;3;2;3;950;7655;26-35;6001-8000;5-8;0;0.04086679422888016;1152.16017192043;146.74565735074452;2;Low;0.06491499227202473;24
No;Manager;No;9;9;46;12;1;3;Travel_Rarely;3;Dissatisfied;3;3;3;406;17465;46-55;10000+;9-12;0;0.04129729766440538;10961.809063163722;-403.778835905686;1;Low;0.06491499227202473;24
No;Sales Executive;No;0;0;38;1;0;3;Travel_Rarely;2;Satisfied;2;3;2;130;7351;36-45;6001-8000;0-4;0;0.053956817495291534;847.6153626440337;-673.0445167090314;2;Low;0.13793103448275862;9
No;Manufacturing Director;No;7;1;43;8;1;3;Travel_Frequently;1;Moderately satisfied;27;3;1;1082;10820;36-45;10000+;5-8;0;0.03024855452564431;4317.256535090877;276.64206615083856;2;Low;0.06491499227202473;24
Yes;Healthcare Representative;No;7;5;39;18;3;3;Travel_Frequently;4;Dissatisfied;2;3;4;203;12169;36-45;10000+;5-8;1;0.5047085116650007;5665.674859660428;-603.2593263097957;2;High;0.06491499227202473;24
No;Research Director;No;7;9;40;20;0;2;Travel_Rarely;3;Moderately satisfied;14;4;2;1308;19626;36-45;10000+;5-8;0;0.02364305521228425;13123.40579810566;496.7763645526428;1;Low;0.06491499227202473;24
No;Research Scientist;Yes;2;2;21;2;0;2;Travel_Rarely;2;Satisfied;1;4;6;984;2070;19-25;2001-4000;0-4;0;0.2582001423596806;-4432.8258763552185;184.46421300246914;0;Medium;0.5833333333333334;14
No;Laboratory Technician;No;4;3;39;5;0;3;Non-Travel;2;Moderately satisfied;9;2;2;439;6782;36-45;6001-8000;0-4;0;0.04691822109666752;278.8268472475447;-363.66949604361264;2;Low;0.06491499227202473;24
No;Manufacturing Director;No;9;9;36;11;0;3;Non-Travel;4;Dissatisfied;18;3;0;217;7779;36-45;6001-8000;9-12;0;0.0364735522379855;1275.682037603211;-586.3385046312574;2;Low;0.06491499227202473;24
No;Sales Representative;No;2;2;31;2;1;4;Travel_Frequently;4;Moderately satisfied;20;3;4;793;2791;26-35;2001-4000;0-4;0;0.22420378114878398;-3711.9445963949915;-7.015166229737247;0;Medium;0.06491499227202473;24
No;Research Scientist;No;3;4;28;5;0;2;Travel_Rarely;2;Dissatisfied;2;1;2;1451;3201;26-35;2001-4000;0-4;0;0.24497846107487148;-3301.5067042925016;650.7106377813521;0;Medium;0.08333333333333333;21
No;Sales Executive;No;2;2;35;5;1;3;Travel_Frequently;4;Satisfied;11;3;3;1182;4968;26-35;4001-6000;0-4;0;0.04153825976259435;-1534.6817020274148;380.5363076922091;0;Low;0.06491499227202473;24
No;Sales Executive;No;8;3;49;9;1;2;Travel_Rarely;2;Satisfied;8;3;3;174;13120;46-55;10000+;5-8;0;0.13961693226552183;6616.657873559607;-632.885545017005;1;Low;0.06491499227202473;24
No;Manufacturing Director;No;2;2;34;3;0;3;Travel_Frequently;3;Satisfied;2;2;3;1003;4033;26-35;4001-6000;0-4;0;0.08276801956302225;-2469.8019324249685;202.16008118329864;0;Low;0.06491499227202473;24
No;Research Scientist;No;5;1;29;7;2;3;Travel_Frequently;2;Satisfied;10;2;2;490;3291;26-35;2001-4000;5-8;0;0.05578109960106258;-3212.1443913712455;-310.3494480442981;0;Low;0.06491499227202473;24
No;Laboratory Technician;No;0;0;42;1;0;1;Travel_Rarely;4;Moderately satisfied;29;3;3;188;4272;36-45;4001-6000;0-4;0;0.19119326045570206;-2231.3399666380665;-612.9985511796253;0;Low;0.0;10
No;Manufacturing Director;Yes;7;2;29;10;1;2;Travel_Rarely;4;Moderately satisfied;8;2;2;718;5056;26-35;4001-6000;5-8;0;0.07877865740963079;-1446.991461376825;-83.52521933196908;0;Low;0.1111111111111111;17
No;Human Resources;No;6;0;38;7;1;4;Travel_Rarely;3;Moderately satisfied;1;4;2;433;2844;36-45;2001-4000;5-8;0;0.03967585723234215;-3659.1728278271444;-367.0496034744975;0;Low;0.06491499227202473;24
No;Research Scientist;Yes;1;2;28;3;1;2;Travel_Frequently;3;Moderately satisfied;6;3;2;773;2703;26-35;2001-4000;0-4;0;0.19918964730477695;-3799.959916499192;-26.95660811626874;0;Low;0.1111111111111111;17
Yes;Laboratory Technician;No;0;0;18;0;0;3;Non-Travel;3;Moderately satisfied;8;3;0;247;1904;0-18;0-2000;0-4;1;0.7799068778342214;-4599.321578794097;-552.4244872580402;0;High;0.6285714285714286;5
Yes;Sales Executive;Yes;2;3;33;5;0;3;Travel_Rarely;1;Dissatisfied;9;3;3;603;8224;26-35;8001-10000;0-4;1;0.34370479405377163;1720.928198993226;-200.62985570067463;2;Medium;0.28865979381443296;16
No;Laboratory Technician;Yes;0;0;41;1;1;3;Travel_Rarely;4;Moderately satisfied;12;3;4;167;4766;36-45;4001-6000;0-4;0;0.07579921026177998;-1737.354908119286;-634.325343845721;0;Low;0.3333333333333333;11
Yes;Laboratory Technician;No;2;2;31;2;1;3;Travel_Frequently;3;Moderately satisfied;15;2;5;874;2610;26-35;2001-4000;0-4;1;0.4162294960261764;-3892.8903920091266;74.10557988464745;0;Medium;0.06491499227202473;24
No;Healthcare Representative;No;2;3;37;6;2;2;Travel_Rarely;4;Moderately satisfied;25;3;2;367;5731;36-45;4001-6000;0-4;0;0.0261722396169263;-772.2222911276467;-434.97272474616614;0;Low;0.06491499227202473;24
No;Research Scientist;No;2;2;27;4;1;2;Travel_Rarely;3;Satisfied;6;3;0;199;2539;26-35;2001-4000;0-4;0;0.05983482976151837;-3964.341713844279;-600.8479250534047;0;Low;0.06491499227202473;24
